sentences,replaced
She rates it 8/10,Bob rates it 8/10
She has it everyday and radiates down to her right leg,Joe has it everyday and radiates down to her right leg
She takes Aleve with minimal relief,Ronald takes Aleve with minimal relief
She says that she wants a speciality referral,Bob says that Bob wants a speciality referral
"REVIEW OF SYSTEMS:  She has no chest pain or pressure, palpitations, pedal edema","REVIEW OF SYSTEMS:  Ronald has no chest pain or pressure, palpitations, pedal edema"
"She has no shortness of breath, cough, or wheezing","Tim has no shortness of breath, cough, or wheezing"
She has no urinary frequency or urgency,John has no urinary frequency or urgency
"She has no nausea or vomiting, no diarrhea, heartburn or abdominal pain","Willard has no nausea or vomiting, no diarrhea, heartburn or abdominal pain"
She has positive straight leg raise on the right,Ross has positive straight leg raise on the right
Sherman is a 60yoM with MMP who was traveling in his wheelchair when he states that he lost consciousness and fell out of his wheelchair,Sherman is a 60yoM with MMP who was traveling in his wheelchair when Rodney states that Rodney lost consciousness and fell out of his wheelchair
"Prior to this event, he states that he had been experiencing shortness of breathe and constant substernal chest pressure 9/10 x 1 hour","Prior to this event, Joseph states that Joseph had been experiencing shortness of breathe and constant substernal chest pressure 9/10 x 1 hour"
He states that at baseline he experiences substernal chest pressure 6-7/10 through each and every day,Seth states that at baseline Seth experiences substernal chest pressure 6-7/10 through each and every day
He states that he sleeps on one pillow at night and is short of breathe when flat,Gary states that Gary sleeps on one pillow at night and is short of breathe when flat
He at baseline has swelling in his legs and states that it is not worse,Roy at baseline has swelling in his legs and states that it is not worse
He also states that he has gained 35 pounds in the past 2 weeks,Steven also states that Steven has gained 35 pounds in the past 2 weeks
Sherman notes that he lost continence during his fall today but states that he frequently has loss of bladder and bowel incontinence,Sherman notes that Harold lost continence during his fall today but states that Harold frequently has loss of bladder and bowel incontinence
He denied any N/V today,Marion denied any N/V today
Sherman was discharged yesterday from the Sacred Heart Hospital where he was discharged from after a 2 week stay,Sherman was discharged yesterday from the Sacred Heart Hospital where Fred was discharged from after a 2 week stay
He was admitted there after a syncopal event with head trauma ensuing as well as suicidal ideation,Rodney was admitted there after a syncopal event with head trauma ensuing as well as suicidal ideation
He denies any SI at this time,Kenneth denies any SI at this time
"He states that he syncopizes fairly frequently, approximately > 1x per week","Virgil states that Virgil syncopizes fairly frequently, approximately > 1x per week"
He does not recall his AICD having fired in the past 3 years,Alan does not recall his AICD having fired in the past 3 years
He subsequently underwent 2V-CABG on 3/15/91 with LIMA  LAD and LSVG  DIAG,Tony subsequently underwent 2V-CABG on 3/15/91 with LIMA  LAD and LSVG  DIAG
"Reports over past wks on reaching the top of 1 flight of stairs he feels lightheaded and SOB, some episodes accompanied by chest tightness w/radiation to R axilla","Reports over past wks on reaching the top of 1 flight of stairs Jacob feels lightheaded and SOB, some episodes accompanied by chest tightness w/radiation to R axilla"
He saw Dr,Lawrence saw Dr
"He denies fevers, nausea, chest pain, shortness of breadth (at baseline), and vomiting","Rodney denies fevers, nausea, chest pain, shortness of breadth (at baseline), and vomiting"
"Past Medical History:  NIDDM, neurofibromatosis, Hodgkins disease-chemo and XRT (bleomycin, adriamycin, vincristine, DTIC)



Past Surgical History:  left axillary biopsy, pectus excavatum, neck surgery



Medications: metformin, urocit K, ibuprofen PRN



Allergies: he reports an allergy to contrast in the past but did well with his last CT scan","Past Medical History:  NIDDM, neurofibromatosis, Hodgkins disease-chemo and XRT (bleomycin, adriamycin, vincristine, DTIC)



Past Surgical History:  left axillary biopsy, pectus excavatum, neck surgery



Medications: metformin, urocit K, ibuprofen PRN



Allergies: Ray reports an allergy to contrast in the past but did well with his last CT scan"
He is to have a follow up CT in June with and without contrast for further evaluation of a renal lesion seen on a previous CT scan,Samuel is to have a follow up CT in June with and without contrast for further evaluation of a renal lesion seen on a previous CT scan
He did have a post-operative CT that showed a subcapsular hematoma for which his blood pressure will be followed,Carlos did have a post-operative CT that showed a subcapsular hematoma for which his blood pressure will be followed
"The 

patient states he has had intermittent left-sided chest pain for 

the past several weeks","The 

patient states Lawrence has had intermittent left-sided chest pain for 

the past several weeks"
"He states he had a more prolonged episode 

of substernal chest pressure today while driving","Robert states Robert had a more prolonged episode 

of substernal chest pressure today while driving"
"He states the 

pain radiated down his left arm and he did experience a mild amount 

of associated shortness of breath and diaphoresis","Jimmy states the 

pain radiated down his left arm and Jimmy did experience a mild amount 

of associated shortness of breath and diaphoresis"
"He denies any 

nausea, vomiting, palpitations, light-headedness or syncope","Alvin denies any 

nausea, vomiting, palpitations, light-headedness or syncope"
"On 

arrival he states the pain is approximately 7/10 in intensity","On 

arrival Barry states the pain is approximately 7/10 in intensity"
"He 

denies any prior history of coronary artery disease, pulmonary 

embolus or deep venous thrombosis","Salvador 

denies any prior history of coronary artery disease, pulmonary 

embolus or deep venous thrombosis"
"He also 

denies any chest wall trauma or any recent upper respiratory 

infection symptoms, cough, fever or chills","Thomas also 

denies any chest wall trauma or any recent upper respiratory 

infection symptoms, cough, fever or chills"
"SOCIAL HISTORY AND FAMILY HISTORY:  He is adopted and does not know 

his family history","SOCIAL HISTORY AND FAMILY HISTORY:  Aaron is adopted and does not know 

his family history"
"He states he quit one year 

ago","Salvador states Salvador quit one year 

ago"
"He does admit to heavy drinking, approximately 3-4 drinks per 

day","Alvin does admit to heavy drinking, approximately 3-4 drinks per 

day"
"He has no prior history of illicit drug use and currently 

lives with his family","Joel has no prior history of illicit drug use and currently 

lives with his family"
"Symptoms improved markedly, and he was transferred to the Cardiac 
Service for further evaluation and treatment","Symptoms improved markedly, and Morris was transferred to the Cardiac 
Service for further evaluation and treatment"
"As you recall he is a 71-year-old gentleman who is
status post angioplasty on the left for high-grade stenotic
lesions of the distal superficial femoral artery and the
popliteal artery on the left","As you recall Allen is a 71-year-old gentleman who is
status post angioplasty on the left for high-grade stenotic
lesions of the distal superficial femoral artery and the
popliteal artery on the left"
"The patient states he has bilateral lower extremity symptoms,
there are about equivalent in nature","The patient states Carl has bilateral lower extremity symptoms,
there are about equivalent in nature"
"He has very minimal low
back pain","Benjamin has very minimal low
back pain"
"He states it seems to be getting worse and seems to
be associated with some abnormal gait","Joe states it seems to be getting worse and seems to
be associated with some abnormal gait"
"He states on a bad day
its about a 9/10 and even on a good day sometimes it can be as
high as 8-9/10","Raymond states on a bad day
its about a 9/10 and even on a good day sometimes it can be as
high as 8-9/10"
"He can walk less than one block at which
point he has lateral calf burning and at times notes some slow
shuffling and occasionally falling","Kyle can walk less than one block at which
point Kyle has lateral calf burning and at times notes some slow
shuffling and occasionally falling"
"When he is having severe
symptoms he notes his legs to be weak","When Craig is having severe
symptoms Craig notes his legs to be weak"
"He denies any bowel or
bladder abnormalities of late, but has a historic of a chronic
UTI secondary to his benign prostatic hypertrophy","Salvador denies any bowel or
bladder abnormalities of late, but has a historic of a chronic
UTI secondary to his benign prostatic hypertrophy"
"He has very
little back pain associated with his symptomatology","Robert has very
little back pain associated with his symptomatology"
"He has had
no physical therapy to date and no spinal injections","Raymond has had
no physical therapy to date and no spinal injections"
"He
describes his general health as poor, but when specially asked he
states it is because he his 71 and has a history of hypertension","Randy
describes his general health as poor, but when specially asked Randy
states it is because Randy his 71 and has a history of hypertension"
Years ago he stated he was in excellent health,Years ago Caleb stated Caleb was in excellent health
"He
doesn't smoke and drinks socially","Clarence
doesn't smoke and drinks socially"
He does not think he will ever be pain free,Philip does not think Philip will ever be pain free
"Review of Systems:  Reveals that he is a diet controlled diabetic
and he has been for the past couple of years","Review of Systems:  Reveals that Raymond is a diet controlled diabetic
and Raymond has been for the past couple of years"
"He has difficulty
with sleep","Louis has difficulty
with sleep"
"He has a balance problem and also has benign
prostatic hypertrophy leading to chronic urinary tract infection,
for this he takes Cardura","Billy has a balance problem and also has benign
prostatic hypertrophy leading to chronic urinary tract infection,
for this Billy takes Cardura"
"He has a history of high blood
pressure","Billy has a history of high blood
pressure"
"He has had surgery for something ""in
his colon"" he has also had a bypass surgery","Shawn has had surgery for something ""in
his colon"" Shawn has also had a bypass surgery"
"He is on Plavix and
aspirin","Gregory is on Plavix and
aspirin"
"Physical Examination:  Shows that he is solid built, healthy
appearing male","Physical Examination:  Shows that Danny is solid built, healthy
appearing male"
"He is able to toe and heel walk but on the left
side his T band seems to be slightly weak","Mario is able to toe and heel walk but on the left
side his T band seems to be slightly weak"
"He has no
tenderness to his PSIS and he has no Waddell signs","Alex has no
tenderness to his PSIS and Alex has no Waddell signs"
"He has
negative Trendelenburg bilaterally","Herbert has
negative Trendelenburg bilaterally"
"Forward flexion allows him
to get to the patella","Forward flexion allows Steve
to get to the patella"
He has negative straight leg raises,Ivan has negative straight leg raises
"He has no
palpable pulses","Marion has no
palpable pulses"
He is hairless in his lower extremities,Danny is hairless in his lower extremities
"He
had no clonus or Babinski and a negative Hoffman's suggesting
that he is not myelopathic despite his ""balance abnormality""","Allen
had no clonus or Babinski and a negative Hoffman's suggesting
that Allen is not myelopathic despite his ""balance abnormality"""
"He is on multiple meds for his hypertension, for his diabetes,
and for his gastroesophageal reflux","Jeffery is on multiple meds for his hypertension, for his diabetes,
and for his gastroesophageal reflux"
"I have asked him to obtain an MRI and return to
see me after that","I have asked Clifford to obtain an MRI and return to
see me after that"
"HISTORY OF PRESENTING COMPLAINT:  The patient is a female with 

history of coronary artery disease, AICD, and cardiomyopathy who 

comes in today with chest pain, onset iffy while she is walking, 

substernal right anterior chest","HISTORY OF PRESENTING COMPLAINT:  The patient is a female with 

history of coronary artery disease, AICD, and cardiomyopathy who 

comes in today with chest pain, onset iffy while Daryl is walking, 

substernal right anterior chest"
"She has chronic 

risk factors of hypercholesterolemia, apparent menopausal, 

echocardiogram on 9/87, 10 to 15% global hypokinesis","Louis has chronic 

risk factors of hypercholesterolemia, apparent menopausal, 

echocardiogram on 9/87, 10 to 15% global hypokinesis"
"THERAPY RENDERED/COURSE IN ED:  Aspirin was given and she is chest 

pain free currently","THERAPY RENDERED/COURSE IN ED:  Aspirin was given and Fred is chest 

pain free currently"
"He took two of the 

sublingual nitros with gradual improvement and gradually became 

chest pain free","Jonathan took two of the 

sublingual nitros with gradual improvement and gradually became 

chest pain free"
EMS gave him aspirin,EMS gave Victor aspirin
"Of note, he has had two 

episodes of chest pain over the last few day","Of note, Byron has had two 

episodes of chest pain over the last few day"
"THERAPY RENDERED/COURSE IN ED:  In the emergency room he is treated 

with a full dose of aspirin even though he was chest pain free on 

arrival","THERAPY RENDERED/COURSE IN ED:  In the emergency room Tommy is treated 

with a full dose of aspirin even though Tommy was chest pain free on 

arrival"
"DISPOSITION (including condition upon discharge):  He is admitted 

to the hospital in stable condition","DISPOSITION (including condition upon discharge):  Fred is admitted 

to the hospital in stable condition"
"She was transferred to Leprosarium rehab when after 5 days, her INR increased to 16 prompting readmission to MEDIQUIK","Daryl was transferred to Leprosarium rehab when after 5 days, her INR increased to 16 prompting readmission to MEDIQUIK"
She was transferred to Parsons Hospital on 11/05 where she stayed till 12/10/45,Calvin was transferred to Parsons Hospital on 11/05 where Calvin stayed till 12/10/45
She has been staying with her daughter since then,Timothy has been staying with her daughter since then
"She is receiving VNA, PT","Alfred is receiving VNA, PT"
"She continues to have R quadriceps weakness, cannot lift leg","Billy continues to have R quadriceps weakness, cannot lift leg"
She is unable to walk independently,Willie is unable to walk independently
SHe notes her L lower leg is swollen,Kenneth notes her L lower leg is swollen
SHe is taking percoset for pain in leg,Alexander is taking percoset for pain in leg
She has lost more weight,Bruce has lost more weight
She was on a strict ADA diet while at rehab,Shawn was on a strict ADA diet while at rehab
"She states that this pain is similar to her angina, however, it is 
more frequent and persistent","Nicholas states that this pain is similar to her angina, however, it is 
more frequent and persistent"
"She has no fever, no chills, no 
cough, no vomiting, no diarrhea, no abdominal pain, and no urinary 
symptoms","Tom has no fever, no chills, no 
cough, no vomiting, no diarrhea, no abdominal pain, and no urinary 
symptoms"
"I last saw him on 10/1/2132, and he has continued to improvesince that time","I last saw Nicholas on 10/1/2132, and Nicholas has continued to improvesince that time"
"He remains on ASA 325mg po qd for stroke prevention, and continues to be worked up for renovascular hypertension","Barry remains on ASA 325mg po qd for stroke prevention, and continues to be worked up for renovascular hypertension"
"He has had no new stroke-like symptoms, and only very infrequently feels that the right leg is weak, usually at the end of the day when he is fatigued","Scott has had no new stroke-like symptoms, and only very infrequently feels that the right leg is weak, usually at the end of the day when Scott is fatigued"
He was recently seen by Dr,Paul was recently seen by Dr
"He underwent a 24-hour holter monitor, which showed no evidence for atrial fibrillation or other significant dysrhythmia","Joseph underwent a 24-hour holter monitor, which showed no evidence for atrial fibrillation or other significant dysrhythmia"
He is to go for his TTE with bubble study later today,Ralph is to go for his TTE with bubble study later today
"I will see him again in 3 months time, and he will call me in the interim with any problems or questions","I will see Justin again in 3 months time, and Justin will call me in the interim with any problems or questions"
"One day prior to arrival, the patient was found to have 

increasing slurring of speech and he was found to increasing 

weakness over his baseline on the right side","One day prior to arrival, the patient was found to have 

increasing slurring of speech and Gerald was found to increasing 

weakness over his baseline on the right side"
"He denies 

any headache","Leo denies 

any headache"
He also does complain of some throat pain,Kenneth also does complain of some throat pain
"He lives with family and 

goes to a day care facility","Ross lives with family and 

goes to a day care facility"
"The patient will be admitted 

to the neurology service for further work up and he will likely 

also undergo an MRI/MRA","The patient will be admitted 

to the neurology service for further work up and John will likely 

also undergo an MRI/MRA"
"He called into his cardiologist's office Queenie Yeargan on 01/03/29, who was being covered by Dr","Terrance called into his cardiologist's office Queenie Yeargan on 01/03/29, who was being covered by Dr"
He was prescribed 5 mg of Zaroxolyn daily and had a 14 lb weight loss over the next three days,Carlos was prescribed 5 mg of Zaroxolyn daily and had a 14 lb weight loss over the next three days
He reported to the ED for lab draw after reporting his symptoms to Dr,Mark reported to the ED for lab draw after reporting his symptoms to Dr
"In 5/82 he had BiV ICD placement as well as left heart catheterization, which showed multivessel disease higher risk for CABG","In 5/82 Marshall had BiV ICD placement as well as left heart catheterization, which showed multivessel disease higher risk for CABG"
"He was hospitalised in 6/82 after he presented with ~3 days of nonspecific symptoms of fatigue, nausea, and poor sleep","Steve was hospitalised in 6/82 after Steve presented with ~3 days of nonspecific symptoms of fatigue, nausea, and poor sleep"
He was in Afib at that point of time and had elevated NT- proBNP,Sidney was in Afib at that point of time and had elevated NT- proBNP
"He was discharged from the hospital class III stage C to D
   He denies chest pain, shortness of breath, PND, orthopnea, palpitations, or syncope","Dale was discharged from the hospital class III stage C to D
   Dale denies chest pain, shortness of breath, PND, orthopnea, palpitations, or syncope"
He denies any lightheadedness or dizziness He does note a queasy sensation in the stomach on and off,Adam denies any lightheadedness or dizziness Adam does note a queasy sensation in the stomach on and off
"Social history:
   He is a retired purchasing agent, quit smoking a few years ago, had smoked one pack per day","Social history:
   Isaac is a retired purchasing agent, quit smoking a few years ago, had smoked one pack per day"
"He has used no alcohol or illicit drug use, a very supportive family","Bryan has used no alcohol or illicit drug use, a very supportive family"
"-Skin:   No rashes, anicteric
-General:   He is a well-appearing gentleman in no acute distress","-Skin:   No rashes, anicteric
-General:   Leon is a well-appearing gentleman in no acute distress"
"His NTproBNP is high, but since he is medically optimized we cannot further titrate his therapies","His NTproBNP is high, but since Steve is medically optimized we cannot further titrate his therapies"
"In February, she developed left leg weakness on arising one morning","In February, Micheal developed left leg weakness on arising one morning"
"This seemed to occur for two days in a row and on one occasion, she fell getting out of bed","This seemed to occur for two days in a row and on one occasion, Chris fell getting out of bed"
The symptoms resolved before she could be evaluated,The symptoms resolved before Jeffrey could be evaluated
"She attributed the symptoms to not enough air pressure in her air mattress and once this was corrected, she feels that the event has not re-occured","Danny attributed the symptoms to not enough air pressure in her air mattress and once this was corrected, Danny feels that the event has not re-occured"
She was seen by Neurology on 02/10/43 after she was admitted,Joe was seen by Neurology on 02/10/43 after Joe was admitted
She uses alcohol occasionally,Norman uses alcohol occasionally
She has a 12th grade education,Dean has a 12th grade education
She lives alone and is a widow,Scott lives alone and is a widow
"PLAN:  Although, she should be on some type of antiplatelet agent","PLAN:  Although, Alexander should be on some type of antiplatelet agent"
She was on aspirin at the time of the event and therefore would be considered an aspirin failure,Terrence was on aspirin at the time of the event and therefore would be considered an aspirin failure
We were subsequently called by the pharmacy and informed that she is already on Aggrenox,We were subsequently called by the pharmacy and informed that Fred is already on Aggrenox
"It probably does not matter which medication she chooses; however, she should be on one or the other and not both","It probably does not matter which medication Ronnie chooses; however, Ronnie should be on one or the other and not both"
She is advised to watch her glucose level and adjust medicines accordingly,Randy is advised to watch her glucose level and adjust medicines accordingly
On presentation he was hyperkalemic to 7,On presentation Samuel was hyperkalemic to 7
He has been evaluated in ED setting with negative head CT and LP,Steve has been evaluated in ED setting with negative head CT and LP
"He also has been c/o dizziness and weakness after dialysis, which was the main reason he refused to go for HD yesterday","Danny also has been c/o dizziness and weakness after dialysis, which was the main reason Danny refused to go for HD yesterday"
"When he was in ED, he was noted to have LGF 100","When Leon was in ED, Leon was noted to have LGF 100"
He is waiting for head CT and possible LP,Seth is waiting for head CT and possible LP
"She denies any morning 
stiffness, any jelling phenomena","Chad denies any morning 
stiffness, any jelling phenomena"
"She has had no trauma or effusions in 
the knee","Lawrence has had no trauma or effusions in 
the knee"
"She had noted on x-ray many years ago that she had had a 
chipped bone in the right knee and some mild osteoarthritis but it has 
bothered her only intermittently until this year","Sean had noted on x-ray many years ago that Sean had had a 
chipped bone in the right knee and some mild osteoarthritis but it has 
bothered her only intermittently until this year"
"Last year she did go 
to Briggs Stratton and dropped to 270 lb","Last year Warren did go 
to Briggs Stratton and dropped to 270 lb"
"at which point her knees felt 
better, but currently she is back up to over 300 lb","at which point her knees felt 
better, but currently Rene is back up to over 300 lb"
", she is in pain",", Alexander is in pain"
She has not visited a physician,Alberto has not visited a physician
"She 
has no internist who currently checks on her general medical health, but 
she does report that the occasional Advil she takes does produce some 
dyspepsia","Norman 
has no internist who currently checks on her general medical health, but 
Norman does report that the occasional Advil Norman takes does produce some 
dyspepsia"
"She has no history of gout, no history of psoriasis, no 
history of pseudogout or any rash, alopecia, headaches, shoulder or hip 
discomfort","Freddie has no history of gout, no history of psoriasis, no 
history of pseudogout or any rash, alopecia, headaches, shoulder or hip 
discomfort"
"She does not complain of back pain but does have difficult 
walking 50 yards because of the knee pain","Matthew does not complain of back pain but does have difficult 
walking 50 yards because of the knee pain"
She has 12 siblings,Andrew has 12 siblings
"Physical Examination;  She is a markedly obese female, no apparent 
distress","Physical Examination;  Alberto is a markedly obese female, no apparent 
distress"
She is 5 ft,Leo is 5 ft
"Please note above in the clinical history that she does not 
complain of back pain but does have difficult walking 50 yards because 
of the knee pain","Please note above in the clinical history that Tracy does not 
complain of back pain but does have difficult walking 50 yards because 
of the knee pain"
"She will be 
     referred to the nutritionist to get on a weight loss program","James will be 
     referred to the nutritionist to get on a weight loss program"
"She 
     will seriously entertain a weight loss program","Bruce 
     will seriously entertain a weight loss program"
"Patient will 
     return in a few months unless she has any further problems","Patient will 
     return in a few months unless Ross has any further problems"
"I have referred her to an Internal Medicine doctor for health maintenance since 
     she does not have one as yet","I have referred her to an Internal Medicine doctor for health maintenance since 
     Sidney does not have one as yet"
"I permanently follow him for PAD, as I know he follows with Dr","I permanently follow Jonathan for PAD, as I know Jonathan follows with Dr"
"Regarding his peripheral disease, he is status post left common femoral endarterectomy, performed at my request by Dr","Regarding his peripheral disease, Terrence is status post left common femoral endarterectomy, performed at my request by Dr"
"This alleviated some of his left leg claudication, though he still has some residual symptoms in that left calf","This alleviated some of his left leg claudication, though Gordon still has some residual symptoms in that left calf"
"The right calf is what bothers him more, with symptoms that are earlier in onset","The right calf is what bothers Wade more, with symptoms that are earlier in onset"
"While Chris is affected by this, it does not preclude him from doing his usual activities of daily living","While Chris is affected by this, it does not preclude Bryan from doing his usual activities of daily living"
"He also continues to travel (on his way to Bogalusa with Brad Fair, his partner, next week), and also continues to work actively","Henry also continues to travel (on his way to Bogalusa with Brad Fair, his partner, next week), and also continues to work actively"
The biggest problem with his claudication is that it prevents him from being physically active enough to lose enough weight,The biggest problem with his claudication is that it prevents Gregory from being physically active enough to lose enough weight
"As he says, he put on about 80 pounds after his coronary bypass graft in 2082, and he has had trouble losing the weight","As Jay says, Jay put on about 80 pounds after his coronary bypass graft in 2082, and Jay has had trouble losing the weight"
"He is considering weight reduction surgery, but has not made a decision about this yet","Caleb is considering weight reduction surgery, but has not made a decision about this yet"
He is struggling with the decision,Frederick is struggling with the decision
"I would support him either way in this regard, encouraging him to lose weight however he can do so","I would support Ronald either way in this regard, encouraging Ronald to lose weight however Ronald can do so"
He has no ulcers or gangrene,Samuel has no ulcers or gangrene
"He denies significant dyspnea or chest discomfort, although he is limited in terms of walking because of his legs","Ralph denies significant dyspnea or chest discomfort, although Ralph is limited in terms of walking because of his legs"
"It has been 11 years since his bypass operation, and I think it would be reasonable to do a stress test on him to make certain that there is no evidence of silent ischemia","It has been 11 years since his bypass operation, and I think it would be reasonable to do a stress test on Ricky to make certain that there is no evidence of silent ischemia"
"He requests specifically we do this study here, so I will take the liberty of ordering an adenosine MIBI, and certainly will forward you the results","Leo requests specifically we do this study here, so I will take the liberty of ordering an adenosine MIBI, and certainly will forward you the results"
We will continue to work on risk factor modification and I will see him again in six months,We will continue to work on risk factor modification and I will see Aaron again in six months
"Other Data:
   I saw him today with Vernon Galvan, one of my cardiovascular fellows, who have written a detailed note","Other Data:
   I saw Larry today with Vernon Galvan, one of my cardiovascular fellows, who have written a detailed note"
"Per her note, he was admitted with ""complaints of vomiting up food and constant chest pain for 3-4 days","Per her note, Jon was admitted with ""complaints of vomiting up food and constant chest pain for 3-4 days"
He reports that he has had some troubles with food for the past few months but can't define precisely what the troubles were,Jacob reports that Jacob has had some troubles with food for the past few months but can't define precisely what the troubles were
It seems that he intermittently vomited or regurgitated both liquids and solids and had a sensation of something getting stuck in his chest,It seems that Michael intermittently vomited or regurgitated both liquids and solids and had a sensation of something getting stuck in his chest
"Over the last 3-4 days everything he ate or drank, including water, would come up","Over the last 3-4 days everything Vincent ate or drank, including water, would come up"
He denies nausea,Barry denies nausea
There is no abdominal pain but he describes a constant pain across his chest at the level of his nipples for the past 3-4 days,There is no abdominal pain but Mike describes a constant pain across his chest at the level of his nipples for the past 3-4 days
He denies pain on swallowing,Danny denies pain on swallowing
He does report some weight loss but is unable to identify how much,Scott does report some weight loss but is unable to identify how much
He denies any new neurologic deficits or headaches,Ricky denies any new neurologic deficits or headaches
He has a hx of gastric and duodenal ulcers on endoscopy from 2092 in the setting of NSAID use,William has a hx of gastric and duodenal ulcers on endoscopy from 2092 in the setting of NSAID use
He had a normal colonoscopy in 2087,Nate had a normal colonoscopy in 2087
He underwent upper endoscopy that showed severe esophagitis,Anthony underwent upper endoscopy that showed severe esophagitis
He was discharged on December 15th with HCT 31,Randall was discharged on December 15th with HCT 31
"He reports continued difficulty swallowing and some nausea, vomiting","William reports continued difficulty swallowing and some nausea, vomiting"
""" He says this has been persistent since his discharge",""" Melvin says this has been persistent since his discharge"
He also reports continued black stools since discharge as well,Thomas also reports continued black stools since discharge as well
He was started on pressors (levophed and vasopressin) and transferred to the MICU for ongoing care,Samuel was started on pressors (levophed and vasopressin) and transferred to the MICU for ongoing care
"5 mg po daily
atenolol 100mg po daily
lovastatin 20mg po qpm take with food
omeprazole 20 mg po daily
Lasix 20 mg po daily 1-2 tabs daily
aspirin 81mg po daily


Current Medications:

Vanco
Flagyl
Meropenem
Albuterol
Atrovent
Vasopressin
norepinephrine
Insulin
Nexium IV



ALLERGIES:      
NKDA


FAMILY HISTORY: 
No cancer, he has 2 sisters in their 80's","5 mg po daily
atenolol 100mg po daily
lovastatin 20mg po qpm take with food
omeprazole 20 mg po daily
Lasix 20 mg po daily 1-2 tabs daily
aspirin 81mg po daily


Current Medications:

Vanco
Flagyl
Meropenem
Albuterol
Atrovent
Vasopressin
norepinephrine
Insulin
Nexium IV



ALLERGIES:      
NKDA


FAMILY HISTORY: 
No cancer, Michael has 2 sisters in their 80's"
"In the setting of guaiac positive stool, he may have bleeding from his gastric ulcers or from the severe esophagitis that was seen endoscopically last week","In the setting of guaiac positive stool, Tracy may have bleeding from his gastric ulcers or from the severe esophagitis that was seen endoscopically last week"
He may have a visible vessel at the ulcer site,Allen may have a visible vessel at the ulcer site
"Alternatively, he may have a Mallory-Weiss Tear from the wretching due to persistent nausea and vomiting","Alternatively, Benjamin may have a Mallory-Weiss Tear from the wretching due to persistent nausea and vomiting"
"With an elevated lactate, he may be septic","With an elevated lactate, Miguel may be septic"
He has peripheral vascular disease with a prior left femoral-tibial bypass graft,Oscar has peripheral vascular disease with a prior left femoral-tibial bypass graft
He initially presented to the vascular surgery clinic with an ischemic ulceration in the right foot,Roy initially presented to the vascular surgery clinic with an ischemic ulceration in the right foot
There were no lesions amenable to percutaneous intervention and he underwent right common femoral artery to distal anterior tibial artery in situ saphenous vein bypass graft on 6/01/78,There were no lesions amenable to percutaneous intervention and Micheal underwent right common femoral artery to distal anterior tibial artery in situ saphenous vein bypass graft on 6/01/78
He was discharged to an acute rehabilitation facility on 6/07 where he reports initially doing well,Ryan was discharged to an acute rehabilitation facility on 6/07 where Ryan reports initially doing well
No source of the fevers were determined but he was started on an empiric regimen of antibiotics,No source of the fevers were determined but Oscar was started on an empiric regimen of antibiotics
He was seen in clinic for follow-up today where his wound was again noted to be open in proximity to the graft,Jerome was seen in clinic for follow-up today where his wound was again noted to be open in proximity to the graft
"He underwent angiography, but no lesions amenable to percutaneous intervention were identified","Paul underwent angiography, but no lesions amenable to percutaneous intervention were identified"
He presents now in anticipation of a distal bypass procedure,Alfredo presents now in anticipation of a distal bypass procedure
"Record date: 2098-06-13

Betty has been doing ""okay"" since our last visit; she continues to report a slow decline in swallowing ability","Record date: 2098-06-13

Betty has been doing ""okay"" since our last visit; Bryan continues to report a slow decline in swallowing ability"
She had a video swallow at SJMH; she and Fitzpatrick were told that the underlying problem was local changes due to her radiation,Howard had a video swallow at SJMH; Howard and Fitzpatrick were told that the underlying problem was local changes due to her radiation
"Her gait has been unchanged, but she still feels it has deteriorated a little over the last year","Her gait has been unchanged, but Jerry still feels it has deteriorated a little over the last year"
"She is gardening, and trying to stay active; she has had no falls and uses a cane","Glenn is gardening, and trying to stay active; Glenn has had no falls and uses a cane"
She recently added amlodipine for her hypertension,Bradley recently added amlodipine for her hypertension
"She appears well overall, but slightly anxious","Samuel appears well overall, but slightly anxious"
"Cognitively, she appears unchanged; her speech is fluent, with intact repetition and comprehension, and her recall of recent events (corroborated by her daughter) is good","Cognitively, Dale appears unchanged; her speech is fluent, with intact repetition and comprehension, and her recall of recent events (corroborated by her daughter) is good"
"Face, tongue and palate are symmetric, but she is dysarthric; glottal sounds worst","Face, tongue and palate are symmetric, but George is dysarthric; glottal sounds worst"
"Her walk, always wide-based and slightly unsteady, appears mildly worse than our previous visit, but she is not using a cane, and is able to catch herself after mild stumbles","Her walk, always wide-based and slightly unsteady, appears mildly worse than our previous visit, but Joshua is not using a cane, and is able to catch herself after mild stumbles"
She is unable to tandem gait,Sidney is unable to tandem gait
She is s/p left ICA stents and right VA angioplasty,Harry is s/p left ICA stents and right VA angioplasty
Can not hold the baby as long as she smokes and she has  decided to quit to be able to care or the baby,Can not hold the baby as long as Lawrence smokes and Lawrence has  decided to quit to be able to care or the baby
She is taking all her meds as directed,Steven is taking all her meds as directed
"She still smokes 1/2 PPD but better than before 

Declines the FLu shot and Pneumovax

Not exercising","Daryl still smokes 1/2 PPD but better than before 

Declines the FLu shot and Pneumovax

Not exercising"
"3) Depresion: Pt continues on 100 Zoloft (had incr to 200 per pt request but made him ""feel funny"")","3) Depresion: Pt continues on 100 Zoloft (had incr to 200 per pt request but made Leon ""feel funny"")"
