sentences,replaced
"DISPOSITION AND PLAN:  She is discharged home to continue with

hospice and expectant care","DISPOSITION AND PLAN:  Abdonabi is discharged home to continue with

hospice and expectant care"
"He notes that his pulse went up to 101 and he had overall felt ""tired in his chest""","Fariha Noura notes that his pulse went up to 101 and Fariha Noura had overall felt ""tired in his chest"""
"He did not take any nitroglycerine, and his symptoms promptly resolved","Jean-Sanon did not take any nitroglycerine, and his symptoms promptly resolved"
He has continued to notice episodes of intermittent rapid pulses with pulses up to 100,Mhm has continued to notice episodes of intermittent rapid pulses with pulses up to 100
He has had no syncope or near syncope,Iglesia has had no syncope or near syncope
"Generally, he has been walking on the treadmill up to four to six miles a day several times a week","Generally, Mitti has been walking on the treadmill up to four to six miles a day several times a week"
"Over the last few weeks, he has felt a little bit more fatigued and now can only walk approximately four miles","Over the last few weeks, Tjiyandjeua has felt a little bit more fatigued and now can only walk approximately four miles"
"He has not had any sustained palpitation, syncope, or near syncope, but has noted a slight decrease in his exercise tolerance","Hyo Jun has not had any sustained palpitation, syncope, or near syncope, but has noted a slight decrease in his exercise tolerance"
He has not had any headaches or any other focal symptoms,Gulsom has not had any headaches or any other focal symptoms
"Diabetes mellitus

The patient checks his blood sugars at home, and they have been in the 120 range, he has been exercising more regularly","Diabetes mellitus

The patient checks his blood sugars at home, and they have been in the 120 range, Meteo has been exercising more regularly"
"He has had no symptoms of hypoglycemia and generally has been doing well



Carpal tunnel syndrome

Currently, he does not complain of any pain or paresthesias in his wrists","Ilijazi has had no symptoms of hypoglycemia and generally has been doing well



Carpal tunnel syndrome

Currently, Ilijazi does not complain of any pain or paresthesias in his wrists"
"Allergic rhinitis

He has chronic postnasal drip and nasal congestion for which he uses clarinexon a regular basis with some improvement","Allergic rhinitis

Hawine has chronic postnasal drip and nasal congestion for which Hawine uses clarinexon a regular basis with some improvement"
"He has had no sinus pains, headache, or recent sinusitis","Rungen has had no sinus pains, headache, or recent sinusitis"
"He has no dysuria, urgency, frequency, or significant nocturia



Cerebrovascular accident

The patient has had no recent neurological symptoms or changes","Daniyl has no dysuria, urgency, frequency, or significant nocturia



Cerebrovascular accident

The patient has had no recent neurological symptoms or changes"
He had a mild aphasia which has totally resolved,Duvanjka had a mild aphasia which has totally resolved
He has had no headaches or any focal symptoms,Hazie has had no headaches or any focal symptoms
"He was noted to have sleep apnea, and CPAP was prescribed","Yunis was noted to have sleep apnea, and CPAP was prescribed"
He has  been using the CPAP,Jarlath has  been using the CPAP
"He is active, independent, and cares for his grandchildren on a regular basis","Kentlyon is active, independent, and cares for his grandchildren on a regular basis"
He haschronic  bilateral nasal congestion,Irmiux haschronic  bilateral nasal congestion
He has no sputum production,Deina has no sputum production
"However, he has not had any significant symptoms since that time","However, Elmouden has not had any significant symptoms since that time"
He remains active without any evidence of congestive heart failure on exam,Ceciliia remains active without any evidence of congestive heart failure on exam
He continues to exercise on a regular basis,Mukelo continues to exercise on a regular basis
"Given his slightly elevated pulse rate, his atenolol will be increased to 25 mg PO BID from one per day which is what he is currently taking","Given his slightly elevated pulse rate, his atenolol will be increased to 25 mg PO BID from one per day which is what Senewa is currently taking"
"If there is any prolonged episode of pain, he will come to the emergency room immediately","If there is any prolonged episode of pain, Teresa Tadeusz will come to the emergency room immediately"
He is encouraged to use nitroglycerine sublingually if he has any evidence or any chest pressure,Abed Alrhman is encouraged to use nitroglycerine sublingually if Abed Alrhman has any evidence or any chest pressure
"He remains on Coumadin for anticoagulation, and his INR has been therapeutic","Marlenny remains on Coumadin for anticoagulation, and his INR has been therapeutic"
He will follow up in three months but sooner pending the above evaluation,Njegosava will follow up in three months but sooner pending the above evaluation
"If he has any increase in his symptoms, he will be admitted immediately","If Lafontan has any increase in his symptoms, Lafontan will be admitted immediately"
She has an extremely complicated history of R and now L,Erika Anna has an extremely complicated history of R and now L
She originally sustained a R,Bavug originally sustained a R
She developed a chronic ulcerated callus over her R,Mersihasamir developed a chronic ulcerated callus over her R
She underwent I+D of her R,Donadio underwent I+D of her R
"In 3/90, she underwent debridement of her chronic R","In 3/90, Ciu underwent debridement of her chronic R"
"In 6/90, she underwent deep debridement of her ongoing 5th metatarsal osteomyelitis, along with excision of her 5th metatarsal&#8212;bone cultures grew MSSA","In 6/90, Moussa Youfsou Omar underwent deep debridement of her ongoing 5th metatarsal osteomyelitis, along with excision of her 5th metatarsal&#8212;bone cultures grew MSSA"
"She did well until 2/92, when she underwent R","Dookhit did well until 2/92, when Dookhit underwent R"
She subsequently developed a R,Totakhil subsequently developed a R
"Her wound continued to heal poorly, and she underwent R","Her wound continued to heal poorly, and Jasiera underwent R"
"In 7/92, she underwent debridement of her R","In 7/92, Ndendah underwent debridement of her R"
"heel wound and placement of a full thickness skin graft, which has taken well; she feels that her R","heel wound and placement of a full thickness skin graft, which has taken well; Ryf feels that her R"
"During her long hospitalization in 4/92, she started developing L","During her long hospitalization in 4/92, Kulpan started developing L"
"She attributes the heel ulcerations to chronic pressure from her position in bed, and the forefoot ulcerations to the boots that were used to relieve her heel pressure, which apparently abraded her forefoot chronically","Shuiqing attributes the heel ulcerations to chronic pressure from her position in bed, and the forefoot ulcerations to the boots that were used to relieve her heel pressure, which apparently abraded her forefoot chronically"
"These ulcerations continued to worsen over the next few months, and she presented with cellulitis of this area in 8/92","These ulcerations continued to worsen over the next few months, and Sigtryggur presented with cellulitis of this area in 8/92"
"She received vancomycin, levofloxacin, flagyl initially, then augmentin, with persistent poor healing of her wounds","Selamawet received vancomycin, levofloxacin, flagyl initially, then augmentin, with persistent poor healing of her wounds"
"On 9/10, she underwent operative debridement of her L","On 9/10, Matias Y Laura underwent operative debridement of her L"
plantar heel ulcer&#8212;she was found to have extensive necrotic yellow-brown tissue underlying her L,plantar heel ulcer&#8212;Rodean was found to have extensive necrotic yellow-brown tissue underlying her L
"heel eschar, which was extensively debrided; she received a course of linezolid postoperatively","heel eschar, which was extensively debrided; Krkan received a course of linezolid postoperatively"
"She had an angiogram on 9/12, which showed no significant flow limiting lesions in her LLE, and good flow through her prior R","Elseyann had an angiogram on 9/12, which showed no significant flow limiting lesions in her LLE, and good flow through her prior R"
She feels that her wounds have been healing fairly well recently; she feels that her R,Asisiu feels that her wounds have been healing fairly well recently; Asisiu feels that her R
"Over the past 2-3 days, she developed fairly acute swelling, erythema, and pain around her forefoot ulcer, with erythema spreading to the dorsal surface of her foot","Over the past 2-3 days, Cindy Carolina developed fairly acute swelling, erythema, and pain around her forefoot ulcer, with erythema spreading to the dorsal surface of her foot"
"She was seen in vascular surgery clinic, and was admitted for antibiotics and further debridement","Abdallah Beau was seen in vascular surgery clinic, and was admitted for antibiotics and further debridement"
"She has a chronic &#8216;fast heartbeat,&#8217; denies any systemic symptoms (no fevers, chills, sweats, notable weight changes), headaches, sinus symptoms, sore throat, cough, shortness of breath, chest pain, nausea, vomiting, abdominal pain, diarrhea, blood in her bowel movements, dysuria, frequency, LE edema, rashes, myalgias, or new arthralgias","Tint has a chronic &#8216;fast heartbeat,&#8217; denies any systemic symptoms (no fevers, chills, sweats, notable weight changes), headaches, sinus symptoms, sore throat, cough, shortness of breath, chest pain, nausea, vomiting, abdominal pain, diarrhea, blood in her bowel movements, dysuria, frequency, LE edema, rashes, myalgias, or new arthralgias"
She feels that her foot erythema has improved significantly overnight with vancomycin,Elias Rodrigues feels that her foot erythema has improved significantly overnight with vancomycin
"He is fasting today for blood draw and sgpt/cpk chck



glucose intolerance : has been controlled on diet/exercise","Dalimon is fasting today for blood draw and sgpt/cpk chck



glucose intolerance : has been controlled on diet/exercise"
Daughter keeps him busy doing odd jobs,Daughter keeps Morandi busy doing odd jobs
"In the interval, since our last visit, he has done well from a CV perspective","In the interval, since our last visit, Adelino Paulo has done well from a CV perspective"
"He has had no episodes of chest pain, pressure, tightness, orthopnea, PND, progressive lower extremity swelling, or claudication","Mittah has had no episodes of chest pain, pressure, tightness, orthopnea, PND, progressive lower extremity swelling, or claudication"
He did unfortunately have an episode of diverticulosis requiring hospitalization at Oakcrest Nursing Home,Mathiew did unfortunately have an episode of diverticulosis requiring hospitalization at Oakcrest Nursing Home
He did not require transfusion,Lazkin did not require transfusion
He remains fairly limited due to his osteoarthritis but continues to perform all ADLs successfully,Bambang H remains fairly limited due to his osteoarthritis but continues to perform all ADLs successfully
"Changes to Allergies
	
BRIMONIDINE TARTRATE - reaction: Unknown [reviewed]
Latex - reaction: Rash [reviewed]
no known allergies: He has no current allergies - reaction: Unknown [reviewed]

Physical examination:
	
-Pulse:   50, which is strong and regular
-resp","Changes to Allergies
	
BRIMONIDINE TARTRATE - reaction: Unknown [reviewed]
Latex - reaction: Rash [reviewed]
no known allergies: Seetho has no current allergies - reaction: Unknown [reviewed]

Physical examination:
	
-Pulse:   50, which is strong and regular
-resp"
"He is saturating 100% at room air
-Extremities:   There is trace dependent 1+ lower extremity swelling, which is stable","Kristian Noel is saturating 100% at room air
-Extremities:   There is trace dependent 1+ lower extremity swelling, which is stable"
He has 2+ carotids with brisk upstrokes,Yarek has 2+ carotids with brisk upstrokes
"-General:   He is alert and appropriate in no apparent distress
-BP: 138/72    in the right arm seated


	EKG:
   Sinus bradycardia at 50","-General:   Unisha is alert and appropriate in no apparent distress
-BP: 138/72    in the right arm seated


	EKG:
   Sinus bradycardia at 50"
") Hypertension


	Assessment and plan:
   Overall he is doing well his cardiovascular issues are stable",") Hypertension


	Assessment and plan:
   Overall King Lam is doing well his cardiovascular issues are stable"
"I will see him back in six months, sooner if new issues arise","I will see Ghulamhussain back in six months, sooner if new issues arise"
She currently does not take any pain medications,Viral currently does not take any pain medications
"She denies a history of heartburn, gastric or duodenal ulcers or GI bleeds","Alrashid denies a history of heartburn, gastric or duodenal ulcers or GI bleeds"
She has trouble falling asleep and staying asleep because of the burning pain in her feet,Angad Kumar has trouble falling asleep and staying asleep because of the burning pain in her feet
She is being referred to us by Dr,Desanka is being referred to us by Dr
She had been reluctant to undergo surgery and was therefore referred to see if epidural steroid injections could help,Sibsagma Hypolite had been reluctant to undergo surgery and was therefore referred to see if epidural steroid injections could help
"Social History:  She does not smoke, does smoke, does not drink and does not use drugs","Social History:  Poala does not smoke, does smoke, does not drink and does not use drugs"
She came from Bermuda four years ago,Lindz came from Bermuda four years ago
She is married and retired,Joycelyn is married and retired
Mental Status:  She was fully awake and alert,Mental Status:  Comprando was fully awake and alert
He left Angels City after I saw him in January when he was free of angina,Caroliny left Angels City after I saw Caroliny in January when Caroliny was free of angina
"While taking an afternoon walk in Quito during early June he experienced fairly severe mid-sternal pain without diaphoresis; pain radiated  to the left upper arm and patient discribed it  as ""sharp burning pressure""","While taking an afternoon walk in Quito during early June Sietze experienced fairly severe mid-sternal pain without diaphoresis; pain radiated  to the left upper arm and patient discribed it  as ""sharp burning pressure"""
He went back home and rest releived the pain he estimates within 15 minutes,Andrijana Ana went back home and rest releived the pain Andrijana Ana estimates within 15 minutes
"There days later pain reccurred, again it lasted about 15 minutes but this time he went to ED","There days later pain reccurred, again it lasted about 15 minutes but this time Victor Almeida went to ED"
"An EKG was ""normal"" and he was discharged on NG","An EKG was ""normal"" and Bir Umut was discharged on NG"
"Approximately one week later he experienced another episode of CP similar to the previous ones, he was taken to another hospital and he was hospitalized","Approximately one week later Marivie experienced another episode of CP similar to the previous ones, Marivie was taken to another hospital and Marivie was hospitalized"
"On July 1st he was catheterized and found to have ""diffuse CAD"" involving several vessels","On July 1st Dinkesa was catheterized and found to have ""diffuse CAD"" involving several vessels"
His LV EF was 55% and he was transferred to a medical ward,His LV EF was 55% and Dantes was transferred to a medical ward
"A day later, on July 3rd, he was readmitted to the ICU because of CP; he was stabilized and eventually discharged on July 5 on the following medication: 


ASA 81 mg
Plavix 75 mg po qd
Bisoprolol 5mg po qd
Isosorbide 20 mg one po in am 1/2 po in pm
Ranitidine 300 mg po qd
Lipitor 40 mg po qd
A sleeping medication 3 mg","A day later, on July 3rd, Oum Yahya was readmitted to the ICU because of CP; Oum Yahya was stabilized and eventually discharged on July 5 on the following medication: 


ASA 81 mg
Plavix 75 mg po qd
Bisoprolol 5mg po qd
Isosorbide 20 mg one po in am 1/2 po in pm
Ranitidine 300 mg po qd
Lipitor 40 mg po qd
A sleeping medication 3 mg"
Austin has been pain free since his discharge until today when he was readying himself to come to the hospital,Austin has been pain free since his discharge until today when Salaty was readying himself to come to the hospital
He then  experienced a brief episode of pain in mid sternum without radiation to the left shoulder which had been present during previous episodes,Mitasha then  experienced a brief episode of pain in mid sternum without radiation to the left shoulder which had been present during previous episodes
At that time he denied any symptoms suggestive of angina,At that time Charleze denied any symptoms suggestive of angina
He is no longer exercising,Nimpaye is no longer exercising
He has residual right shoulder pain after a fall in Dec 2094 which was significantly improved by  steroid injections,Omodara has residual right shoulder pain after a fall in Dec 2094 which was significantly improved by  steroid injections
He was seen by Ophthalmology and was told insurance does not cover cataract surgery which he needs,Chiper was seen by Ophthalmology and was told insurance does not cover cataract surgery which Chiper needs
Patient instructed to call and come to ED if he experiences CP,Patient instructed to call and come to ED if Gofran experiences CP
However he lives in Chardon and driving in can take some time,However Noad lives in Chardon and driving in can take some time
"He had a L thalamocapsular infarct in 8/2091 with R residual hemiparesis, and a R thalamocapsular infarct 5/93 with subsequent residual dysarthria","Goodas had a L thalamocapsular infarct in 8/2091 with R residual hemiparesis, and a R thalamocapsular infarct 5/93 with subsequent residual dysarthria"
During his May hospitalization he had dysphagia for which he briefly received tube feeds before graduating to POs,During his May hospitalization Zaric had dysphagia for which Zaric briefly received tube feeds before graduating to POs
"He went to Honduras approximately 3 months ago, and ran out of many of his medications in the last 2 weeks, including plavix, lopressor, and metformin","Beury went to Honduras approximately 3 months ago, and ran out of many of his medications in the last 2 weeks, including plavix, lopressor, and metformin"
He self-d/c'd zestril for new nausea that he felt was related,Stefan Jaanus self-d/c'd zestril for new nausea that Stefan Jaanus felt was related
"He continues to note vertigo present sitting, worse standing, and absent supine","Nasur continues to note vertigo present sitting, worse standing, and absent supine"
"He has had difficulty ambulating as well, despite the use of his tripod cane, and his children have helped him at home","Ljubo has had difficulty ambulating as well, despite the use of his tripod cane, and his children have helped Ljubo at home"
He returned from Honduras 3 days ago to refill his medications and get his symptoms evaluated,Visiska returned from Honduras 3 days ago to refill his medications and get his symptoms evaluated
He is approaching probable AVR and,Amofah is approaching probable AVR and
He has had diabetes since age 50,Kikush has had diabetes since age 50
"He was treated with diet initially, then chlorpropamide (100 mg bid at the time of admission) to which metformin (1000 mg bid at the time of admission) was added","Naziru was treated with diet initially, then chlorpropamide (100 mg bid at the time of admission) to which metformin (1000 mg bid at the time of admission) was added"
He denies hypoglycemia and does not have hyponatremia,Iykeman denies hypoglycemia and does not have hyponatremia
"He has never used insulin until this admission, when his oral agents were stopped and Lantus begun","Xikombiso has never used insulin until this admission, when his oral agents were stopped and Lantus begun"
"Retinopathy:	Reports that he does have retinopathy, but lost vision OD to macular degeneration","Retinopathy:	Reports that Meiking does have retinopathy, but lost vision OD to macular degeneration"
He is followed by Dr,Allattin is followed by Dr
"Wilkes, and reports that he has had laser treatment by Dr","Wilkes, and reports that Uppala has had laser treatment by Dr"
Notes that he has had flat feet all of his life and does not recall any acute painful episode in L foot,Notes that Pann has had flat feet all of his life and does not recall any acute painful episode in L foot
Sulfa - he thinks that he has had sulfa since the time he was labeled with an allergy to it but cannot recall details,Sulfa - Herzl thinks that Herzl has had sulfa since the time Herzl was labeled with an allergy to it but cannot recall details
He is a Financial Senior Manager,Rosa Edith is a Financial Senior Manager
"After the successful treatment of his lymphoma at about age 68, he went back to school to study sociology","After the successful treatment of his lymphoma at about age 68, Ramah went back to school to study sociology"
"His average control has apparently been good on the combination of chlorpropamide and metformin, although we cannot be sure of that in view of his anemia and the fact that he was not testing his glucose at home","His average control has apparently been good on the combination of chlorpropamide and metformin, although we cannot be sure of that in view of his anemia and the fact that Shaibou was not testing his glucose at home"
Lantus does not appear to be the right insulin for him,Lantus does not appear to be the right insulin for Giovannini
"I have not addressed the issue of long term insulin use with him, although it would be my first choice","I have not addressed the issue of long term insulin use with Stalon, although it would be my first choice"
"Even at his age, I suspect that he would have no difficulty mastering it given his relatively youthful mind","Even at his age, I suspect that Lecce would have no difficulty mastering it given his relatively youthful mind"
"Following the diagnosis, he was discharged to Bellaire City Hospital, where he continued to experience falls","Following the diagnosis, Zhanjun was discharged to Bellaire City Hospital, where Zhanjun continued to experience falls"
"After one episode, he was forcibly picked up, and began to have L shoulder pain thereafter","After one episode, Bd Llh was forcibly picked up, and began to have L shoulder pain thereafter"
He also noted a cut over the L elbow on transfer to the NH that was slow to heal,Mamadoubhoye also noted a cut over the L elbow on transfer to the NH that was slow to heal
"After several weeks of worsening shoulder pain, erythema, and warmth, he was re-hospitalized at Ouagadougou, where he underwent L shoulder aspiration","After several weeks of worsening shoulder pain, erythema, and warmth, Jonathab was re-hospitalized at Ouagadougou, where Jonathab underwent L shoulder aspiration"
"Of note, he denied fevers, chills, or NS","Of note, Senthumoleng denied fevers, chills, or NS"
"He subsequently underwent L shoulder I&D 10/12, with removal of 300cc of frankly purulent fluid","Kak Yong subsequently underwent L shoulder I&D 10/12, with removal of 300cc of frankly purulent fluid"
He was started on cefazolin,Rajlakshmi was started on cefazolin
"He was taken back to the OR 10/16 for arthroscopy, with extensive debridement","Seok Min was taken back to the OR 10/16 for arthroscopy, with extensive debridement"
"He was transitioned to ampicillin 2g q6 hours x 2 weeks, and then given amoxicillin (either 1g BID or 500mg TID, unsure which) x 2 weeks","Oliverta was transitioned to ampicillin 2g q6 hours x 2 weeks, and then given amoxicillin (either 1g BID or 500mg TID, unsure which) x 2 weeks"
"Moss was seen in the ID clinic 1/18, at which time he complained of a several week h/o progressively worsening L shoulder discomfort with activity","Moss was seen in the ID clinic 1/18, at which time Janhein complained of a several week h/o progressively worsening L shoulder discomfort with activity"
"He did not experience shoulder pain at rest, and had not recently noted erythema","Habeeblahi did not experience shoulder pain at rest, and had not recently noted erythema"
"Appetite was near baseline, though he had experienced fatigue","Appetite was near baseline, though Nomtha had experienced fatigue"
"Following the fall, he had significantly increased hip pain","Following the fall, Iglika had significantly increased hip pain"
"Multiple areas of ecchymoses, with some skin breakdown, on extremities bilaterally (he attributes this to multiple falls)

HEENT: anicteric, conjunctiva uninjected","Multiple areas of ecchymoses, with some skin breakdown, on extremities bilaterally (Alanzy attributes this to multiple falls)

HEENT: anicteric, conjunctiva uninjected"
He did have persistently elevated inflammatory markers (though confounded by multiple comorbidities),Neznakomka did have persistently elevated inflammatory markers (though confounded by multiple comorbidities)
"Given the possibility that he had cleared the infection, our plan as of the clinic visit Wednesday had been to observe him clinically, off abx, for signs of recurrent infection","Given the possibility that Azelika had cleared the infection, our plan as of the clinic visit Wednesday had been to observe Azelika clinically, off abx, for signs of recurrent infection"
"Alternatively, he may have had hardware mechanical failure in setting of falls, or less likely involvement by his prostatic ca (","Alternatively, Prelove may have had hardware mechanical failure in setting of falls, or less likely involvement by his prostatic ca ("
"She
presented to the Emergency Room 5","Himani
presented to the Emergency Room 5"
"She was admitted to
the Neurology Service for a stroke workup","Biton was admitted to
the Neurology Service for a stroke workup"
"She was taken to angiogram
for interventional neuroradiology","Wandy Garcia was taken to angiogram
for interventional neuroradiology"
She had an angiogram,Bleu had an angiogram
"She remained stable anti-coagulated on
heparin","Palghat remained stable anti-coagulated on
heparin"
"During the hospital stay, she spontaneously converted
to rapid ventricular rate atrial fibrillation, which was felt to
be the likely source of her stroke and as such was planned to
remain anti-coagulated","During the hospital stay, Zkrya spontaneously converted
to rapid ventricular rate atrial fibrillation, which was felt to
be the likely source of her stroke and as such was planned to
remain anti-coagulated"
"She was discharged to rehab and
subsequently went home from rehab on 08/04/2067","Mutele was discharged to rehab and
subsequently went home from rehab on 08/04/2067"
"At home, she
had been noted to have elevations in blood pressure but has been
feeling O","At home, Lahyanto
had been noted to have elevations in blood pressure but has been
feeling O"
"She continues to get PT and
occupational therapy twice per week and complains that her memory
remains poor","Luis Roman continues to get PT and
occupational therapy twice per week and complains that her memory
remains poor"
"According to the family member and her daughter
who are here interpreting for her at Clinic today, she continues
to have right-sided weakness, although significantly improved and
decreased verbal output although her daughter seemed to be able
to communicate well with her","According to the family member and her daughter
who are here interpreting for her at Clinic today, Ramjee continues
to have right-sided weakness, although significantly improved and
decreased verbal output although her daughter seemed to be able
to communicate well with her"
"Since her discharge, she has not
had any new episodes of numbness, weakness, headaches, or visual
changes","Since her discharge, Hlbub has not
had any new episodes of numbness, weakness, headaches, or visual
changes"
"REVIEW OF SYSTEMS:  She denies any fevers, chills, weight loss,
chest pain, shortness of breath, palpitations, leg cramps,
claudication, dyspnea on exertion, cough, wheezing, hemoptysis,
heartburn, abdominal pain, hematemesis, nausea, vomiting,
diarrhea, melena, dysuria, changes in bowel or bladder habits,
rashes, arthralgias, myalgias, polyuria, polydypsia, breathing,
or bleeding problems","REVIEW OF SYSTEMS:  Ikgomotseng denies any fevers, chills, weight loss,
chest pain, shortness of breath, palpitations, leg cramps,
claudication, dyspnea on exertion, cough, wheezing, hemoptysis,
heartburn, abdominal pain, hematemesis, nausea, vomiting,
diarrhea, melena, dysuria, changes in bowel or bladder habits,
rashes, arthralgias, myalgias, polyuria, polydypsia, breathing,
or bleeding problems"
ALLERGIES:  She has no known drug allergies,ALLERGIES:  Renarto has no known drug allergies
"Neurological exam (conducted via her daughter and the
interpreter):  She is alert and oriented","Neurological exam (conducted via her daughter and the
interpreter):  Laudenice is alert and oriented"
She is attentive,Ayou is attentive
"She
is non-fluent with really minimal verbal output","Jan Kenneth
is non-fluent with really minimal verbal output"
"She has
decreased naming and decreased comprehension","Ari Veri has
decreased naming and decreased comprehension"
"She does not have
any neglect or apraxia","Sy Abdoul Karim does not have
any neglect or apraxia"
"She has a
right facial droop","Recep Fatma has a
right facial droop"
She has strength on the left is normal,Mandalena has strength on the left is normal
"She
reports decreased pinprick and temperature on the right arm","Fetin
reports decreased pinprick and temperature on the right arm"
"Her reflexes are brisker on the
right at about 3 and she has a right plantar extensor response","Her reflexes are brisker on the
right at about 3 and Qirxlar has a right plantar extensor response"
"She has had mild to moderate chronic
small vessel ischemic changes on her MRI","Sixface has had mild to moderate chronic
small vessel ischemic changes on her MRI"
"On exam, she has residual aphasia involving both
comprehension and fluency; and a moderate right hemiparesis","On exam, Katmojo has residual aphasia involving both
comprehension and fluency; and a moderate right hemiparesis"
"It
is unclear to me why the warfarin was discontinued but given her
stroke and the documentation of paroxysmal atrial fibrillation
during her hospital stay, I think that she would benefit from
anti-coagulation therapy","It
is unclear to me why the warfarin was discontinued but given her
stroke and the documentation of paroxysmal atrial fibrillation
during her hospital stay, I think that Suryaning would benefit from
anti-coagulation therapy"
"If there are no such
contraindications, she should restart on warfarin","If there are no such
contraindications, Firdes should restart on warfarin"
"Continue risk factor modification with the management of
blood pressure, diabetes, and hypercholesterol as she is doing","Continue risk factor modification with the management of
blood pressure, diabetes, and hypercholesterol as Ceslav is doing"
"The patient states that over the last 
couple of weeks she has had increased chest palpitations and two 
weeks ago was given an event monitor which he has intermittently 
worn saying it is difficult to wear during the heat wave","The patient states that over the last 
couple of weeks Bernadine has had increased chest palpitations and two 
weeks ago was given an event monitor which Alciviades has intermittently 
worn saying it is difficult to wear during the heat wave"
"Despite the technical success of both procedures, he continued to have bilateral hip claudication symptoms","Despite the technical success of both procedures, Anaane continued to have bilateral hip claudication symptoms"
"When we had last evaluated him in November 2089, we had considered moving forward with CT angiography to assess the patency of his aorto-iliac anatomy","When we had last evaluated Sahmad in November 2089, we had considered moving forward with CT angiography to assess the patency of his aorto-iliac anatomy"
"At the time, he favored moving on a conservative course with improved walking regimen and weight loss","At the time, Omonigho favored moving on a conservative course with improved walking regimen and weight loss"
"Unfortunately, despite these measures, he feels quite disabled and limited by his claudication symptoms","Unfortunately, despite these measures, Eriikaa feels quite disabled and limited by his claudication symptoms"
He notes that symptoms will improve with standing still however sitting symptoms resolve much quicker,Said Dawood notes that symptoms will improve with standing still however sitting symptoms resolve much quicker
"He does not necessarily notice any change with inclines or going up stairs; in fact, he is actually able to climb 18 stairs to his office without limitation","Editka does not necessarily notice any change with inclines or going up stairs; in fact, Editka is actually able to climb 18 stairs to his office without limitation"
We understand that you are following him in closely in this regard and now requesting up coming chemical stress test given that has been nearly 10 years from his coronary artery bypass surgery,We understand that you are following Yohisa in closely in this regard and now requesting up coming chemical stress test given that has been nearly 10 years from his coronary artery bypass surgery
"Interestingly, he has had these symptoms dating back to immediately following his revascularization procedures in 2088 and 2089","Interestingly, Fionnuala has had these symptoms dating back to immediately following his revascularization procedures in 2088 and 2089"
"Likewise, he has noted improvement upon leaning forward and against a tree","Likewise, Rhojel has noted improvement upon leaning forward and against a tree"
He is quite reticent to go forward with the chemical stress test though we did broach the subject of performing coronary catheterization at the time of his peripheral angiogram given that we are actually going to be in there,Rryma is quite reticent to go forward with the chemical stress test though we did broach the subject of performing coronary catheterization at the time of his peripheral angiogram given that we are actually going to be in there
He has actually requested this as opposed to going forward with the chemical stress test,Jemali has actually requested this as opposed to going forward with the chemical stress test
We will plan to schedule his procedure in the upcoming weeks and he is to notify us if symptoms are progressed in the interim time,We will plan to schedule his procedure in the upcoming weeks and Emaly is to notify us if symptoms are progressed in the interim time
"Jarvis's cardiac history began in 12/95, when he was shoveling snow","Jarvis's cardiac history began in 12/95, when Sejkoczki was shoveling snow"
"At that time, he developed dizziness, diaphoresis and nausea","At that time, Medinah developed dizziness, diaphoresis and nausea"
He went inside and had an episode of syncope which lasted approximately 5 minutes,Gerli Ja Marko went inside and had an episode of syncope which lasted approximately 5 minutes
He never developed chest pain,Schelte never developed chest pain
He was discharged home in 12/95 in stable condition and follow-up with Dr,Mircko was discharged home in 12/95 in stable condition and follow-up with Dr
He is then scheduled to have CABG with Dr,Sagar Singh is then scheduled to have CABG with Dr
"He denies any chest pain, dyspnea, dizziness, pedal edema, orthopnea, PND, or syncope","Aldeci denies any chest pain, dyspnea, dizziness, pedal edema, orthopnea, PND, or syncope"
"He does report some bilateral thigh claudication, noting that he can walk about 0","Volta Vicky does report some bilateral thigh claudication, noting that Volta Vicky can walk about 0"
5 miles before he has to stop secondary to leg pain,5 miles before Natthanan has to stop secondary to leg pain
He denies any calf pain,Raul Fabian denies any calf pain
His son had a MI at the age of 55- he had 2 stents placed,His son had a MI at the age of 55- Holiver had 2 stents placed
"Social history:
   Remote tobacco history-he has a 15-20 pack year history, quitting about 40 years ago","Social history:
   Remote tobacco history-Eduado has a 15-20 pack year history, quitting about 40 years ago"
He drinks about 1-2 glasses of wine per week,Ahaah drinks about 1-2 glasses of wine per week
He denies any illicit drug use,Abuhanif denies any illicit drug use
He is married with 2 children,Nyima is married with 2 children
He is a Primary Production Manager and has been doing so for the past 40-50 years,Qninkena is a Primary Production Manager and has been doing so for the past 40-50 years
"-Proceed with cardiac catheterization today 
- He will be premedicated with Mucomyst and Bicarb","-Proceed with cardiac catheterization today 
- Alela will be premedicated with Mucomyst and Bicarb"
He has a pet CT scan pending for March,Tarandek has a pet CT scan pending for March
"He reports
  No recent flank or back discomfort","Hariklia reports
  No recent flank or back discomfort"
He reports no dysuria,Hanumanth reports no dysuria
He reports no polyuria or polydipsia,Ras Popae reports no polyuria or polydipsia
"Since his last visit with me he continues to feel well without chest pain, shortness of breath or other symptoms","Since his last visit with me Bustom continues to feel well without chest pain, shortness of breath or other symptoms"
He remains very physically active and has no symptoms with sctivity,Nana Boateng remains very physically active and has no symptoms with sctivity
